departure,time,flight,airline,info_url,status,is_departure
Goa (GOI),08:40,I5819,AirAsia India,https://www.bangaloreairport.com/kempegowda-flight-arrival/I5819,Landed - Delayed [+],False
Gulbarga (GBI),08:40,S5117,Star Air,https://www.bangaloreairport.com/kempegowda-flight-departure/S5117,Unknown [+],True
Jaipur (JAI),08:40,6E415,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E415,Landed - On-time [+],True
Delhi (DEL),08:40,G8113,Go First,https://www.bangaloreairport.com/kempegowda-flight-arrival/G8113,Landed - Delayed [+],False
Kochi (COK),08:45,6E728,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E728,Landed - On-time [+],False
Mumbai (BOM),08:50,UK851,Vistara,https://www.bangaloreairport.com/kempegowda-flight-arrival/UK851,Landed - On-time [+],False
Delhi (DEL),08:50,6E2336,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E2336,Landed - On-time [+],False
Hyderabad (HYD),08:50,UK898,Vistara,https://www.bangaloreairport.com/kempegowda-flight-arrival/UK898,Landed - Delayed [+],False
Darbhanga (DBR),08:55,SG693,SpiceJet,https://www.bangaloreairport.com/kempegowda-flight-departure/SG693,En Route [+],True
Delhi (DEL),08:55,AI803,Air India,https://www.bangaloreairport.com/kempegowda-flight-arrival/AI803,Landed - On-time [+],False
Indore (IDR),08:55,6E701,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E701,Landed - On-time [+],False
Surat Gujarat (STV),09:00,6E6176,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E6176,En Route [+],True
Pune (PNQ),09:00,6E391,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E391,Landed - On-time [+],False
Mysore (MYQ),09:00,"9I505
AI9505","Alliance Air
Air India",https://www.bangaloreairport.com/kempegowda-flight-departure/9I505,Unknown [+],True
Goa (GOI),09:00,SG3028,SpiceJet,https://www.bangaloreairport.com/kempegowda-flight-arrival/SG3028,Scheduled - Delayed [+],False
Vishakhapatnam (VTZ),09:05,I51452,AirAsia India,https://www.bangaloreairport.com/kempegowda-flight-departure/I51452,Landed - On-time [+],True
Bhubaneswar (BBI),09:05,6E246,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E246,Landed - On-time [+],True
Chennai (MAA),09:10,6E541,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E541,Landed - Delayed [+],True
Ranchi (IXR),09:15,I5819,AirAsia India,https://www.bangaloreairport.com/kempegowda-flight-departure/I5819,En Route [+],True
Patna (PAT),09:15,G8873,Go First,https://www.bangaloreairport.com/kempegowda-flight-departure/G8873,Landed - On-time [+],True
Goa (GOI),09:15,6E249,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E249,Landed - Delayed [+],False
Kurnool (KJB),09:20,6E7911,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E7911,Landed - On-time [+],True
Jabalpur (JLR),09:20,SG3023,SpiceJet,https://www.bangaloreairport.com/kempegowda-flight-departure/SG3023,Scheduled - Delayed [+],True
Amritsar (ATQ),09:20,6E477,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E477,En Route [+],True
Hyderabad (HYD),09:20,6E886,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E886,Landed - On-time [+],True
Male (MLE),09:25,6E1788,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E1788,En Route [+],True
Mangalore (IXE),09:25,SG4010,SpiceJet,https://www.bangaloreairport.com/kempegowda-flight-arrival/SG4010,Landed - Delayed [+],False
Mumbai (BOM),09:25,6E6293,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E6293,Landed - Delayed [+],False
Mumbai (BOM),09:30,UK852,Vistara,https://www.bangaloreairport.com/kempegowda-flight-departure/UK852,Landed - On-time [+],True
Delhi (DEL),09:30,6E2337,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E2337,En Route [+],True
Colombo (CMB),09:30,6E1205,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E1205,En Route [+],True
